,value
Rv1609,MONOMER
Rv2063A,MONOMER
Rv0180c,MONOMER
Rv2543,MONOMER
Rv3012c,MONOMER
Rv0616A,MONOMER
Rv3454,MONOMER
Rv1157c,MONOMER
Rv1591,MONOMER
Rv2043c,MONOMER
Rv0164,MONOMER
Rv2993c,MONOMER
Rv0594,MONOMER
Rv3437,MONOMER
Rv1135A,MONOMER
Rv3918c,MONOMER
Rv1574,MONOMER
Rv2022c,MONOMER
Rv0147,MONOMER
Rv2502c,MONOMER
Rv2974c,MONOMER
Rv0578c,MONOMER
Rv3418c,MONOMER
Rv1115,MONOMER
Rv3895c,MONOMER
Rv1998c,MONOMER
Rv2484c,MONOMER
Rv0132c,MONOMER
Rv2946c,MONOMER
Rv0560c,MONOMER
Rv3395A,MONOMER
Rv1096,MONOMER
Rv3879c,MONOMER
Rv1540,MONOMER
Rv1982c,MONOMER
Rv2463,MONOMER
Rv0113,MONOMER
Rv2930,MONOMER
Rv0543c,MONOMER
Rv3374,MONOMER
Rv1077,MONOMER
Rv0975c,MONOMER
Rv3863,MONOMER
Rv1523,MONOMER
Rv1964,MONOMER
Rv2444c,MONOMER
Rv0091,MONOMER
Rv2912c,MONOMER
Rv0526,MONOMER
Rv3356c,MONOMER
Rv1054,MONOMER
Rv0956,MONOMER
Rv3843c,MONOMER
Rv1939,MONOMER
Rv2424c,MONOMER
Rv0075,MONOMER
Rv2890c,MONOMER
Rv0510,MONOMER
Rv3333c,MONOMER
Rv0934,MONOMER
Rv3819,MONOMER
Rv1477,MONOMER
Rv1920,MONOMER
Rv2400c,MONOMER
Rv0056,MONOMER
Rv2872,MONOMER
Rv0490,MONOMER
Rv3315c,MONOMER
Rv1015c,MONOMER
Rv0916c,MONOMER
Rv3784,MONOMER
Rv1460,MONOMER
Rv1901,MONOMER
Rv2382c,MONOMER
Rv0038,MONOMER
Rv0469,MONOMER
Rv3298c,MONOMER
Rv0995,MONOMER
Rv0897c,MONOMER
Rv3764c,MONOMER
Rv1444c,MONOMER
Rv1874,MONOMER
Rv2359,MONOMER
Rv0014c,MONOMER
Rv2838c,MONOMER
Rv0452,MONOMER
Rv3277,MONOMER
Rv0876c,MONOMER
Rv3746c,MONOMER
Rv1426c,MONOMER
Rv1855c,MONOMER
Rv2340c,MONOMER
Rv2801c,MONOMER
Rv0431,MONOMER
Rv3256c,MONOMER
Rv0858c,MONOMER
Rv3726,MONOMER
Rv1407,MONOMER
Rv1842c,MONOMER
Rv2782c,MONOMER
Rv0412c,MONOMER
Rv3235,MONOMER
Rv0838,MONOMER
Rv3709c,MONOMER
Rv1391,MONOMER
Rv1823,MONOMER
Rv2301,MONOMER
Rv0394c,MONOMER
Rv2765,MONOMER
Rv2760c,MONOMER
Rv3213c,MONOMER
Rv0815c,MONOMER
Rv3690,MONOMER
Rv1366A,MONOMER
Rv1801,MONOMER
Rv2274c,MONOMER
Rv0369c,MONOMER
Rv2742c,MONOMER
Rv3198c,MONOMER
Rv0795,MONOMER
Rv3673c,MONOMER
Rv1343c,MONOMER
Rv1783,MONOMER
Rv2249c,MONOMER
Rv0350,MONOMER
Rv2723,MONOMER
Rv3176c,MONOMER
Rv0777,MONOMER
Rv3641c,MONOMER
Rv1322A,MONOMER
Rv1763,MONOMER
Rv2228c,MONOMER
Rv0332,MONOMER
Rv2701c,MONOMER
Rv3158,MONOMER
Rv0756c,MONOMER
Rv3622c,MONOMER
Rv1304,MONOMER
Rv1743,MONOMER
Rv2212,MONOMER
Rv0311,MONOMER
Rv2681,MONOMER
Rv3141,MONOMER
Rv0737,MONOMER
Rv3604c,MONOMER
Rv1286,MONOMER
Rv1721c,MONOMER
Rv2195,MONOMER
Rv0292,MONOMER
Rv2657c,MONOMER
Rv3121,MONOMER
Rv0720,MONOMER
Rv3587c,MONOMER
Rv1265,MONOMER
Rv1700,MONOMER
Rv2173,MONOMER
Rv0275c,MONOMER
Rv2634c,MONOMER
Rv3102c,MONOMER
Rv0704,MONOMER
Rv3563,MONOMER
Rv1247c,MONOMER
Rv1677,MONOMER
Rv2149c,MONOMER
Rv0252,MONOMER
Rv2613c,MONOMER
Rv3084,MONOMER
Rv0683,MONOMER
Rv3532,MONOMER
Rv1230c,MONOMER
Rv1656,MONOMER
Rv2128,MONOMER
Rv0233,MONOMER
Rv2596,MONOMER
Rv3061c,MONOMER
Rv0666,MONOMER
Rv3507,MONOMER
Rv1212c,MONOMER
Rv1639c,MONOMER
Rv2107,MONOMER
Rv0217c,MONOMER
Rv2580c,MONOMER
Rv3043c,MONOMER
Rv0650,MONOMER
Rv3487c,MONOMER
Rv1192,MONOMER
Rv1622c,MONOMER
Rv2077c,MONOMER
Rv0197,MONOMER
Rv2557,MONOMER
Rv3027c,MONOMER
Rv0631c,MONOMER
Rv3469c,MONOMER
Rv1169c,MONOMER
Rv1606,MONOMER
Rv2061c,MONOMER
Rv0177,MONOMER
Rv2539c,MONOMER
Rv3009c,MONOMER
Rv0609,MONOMER
Rv3451,MONOMER
Rv1153c,MONOMER
Rv1587c,MONOMER
Rv0160c,MONOMER
Rv2520c,MONOMER
Rv2989,MONOMER
Rv0591,MONOMER
Rv3434c,MONOMER
Rv1132,MONOMER
Rv3914,MONOMER
Rv1570,MONOMER
Rv2018,MONOMER
Rv0144,MONOMER
Rv2499c,MONOMER
Rv2971,MONOMER
Rv0575c,MONOMER
Rv3414c,MONOMER
Rv1112,MONOMER
Rv3892c,MONOMER
Rv1554,MONOMER
Rv1995,MONOMER
Rv2480c,MONOMER
Rv0128,MONOMER
Rv2943A,MONOMER
Rv0557,MONOMER
Rv3391,MONOMER
Rv1093,MONOMER
Rv3876,MONOMER
Rv1537,MONOMER
