,query,evalue
CD630_19680,b2966,5.37e-14
CD630_19740,b4172,6.28e-21
CD630_19750,b4171,9.83e-59
CD630_19760,b4170,2.2e-71
CD630_19770,b2733,0.0
CD630_19860,b0661,2.7600000000000003e-118
CD630_19950,b2327,7.77e-41
CD630_19960,b3954,2.63e-17
CD630_20120,b0349,7.85e-11
CD630_20140,b3771,5.2800000000000006e-163
CD630_20190,b1828,2.62e-62
CD630_20200,b2592,0.0
CD630_20270,b0516,1.02e-60
CD630_20300,b4254,1.8499999999999998e-131
CD630_20310,b1748,4.4599999999999996e-104
CD630_20320,b2818,7.369999999999999e-28
CD630_20340,b3958,1.43e-58
CD630_20530,b2838,2.52e-39
CD630_20540,b0002,1.41e-29
CD630_20590,b0680,0.0
CD630_20600,b2086,1.17e-24
CD630_20680,b0820,1.89e-167
CD630_20710,b2876,5.55e-31
CD630_20750,b3654,3.7399999999999995e-52
CD630_20840,b2872,4.0600000000000004e-57
CD630_20880,b0286,7.1e-36
CD630_20940,b4346,3.5400000000000004e-35
CD630_20990,b2881,3.2599999999999998e-152
CD630_21100,b0825,8.75e-61
CD630_21150,b0484,0.0
CD630_21160,b3871,0.0
CD630_21170,b0888,1.5400000000000002e-70
CD630_21180,b0004,2.55e-55
CD630_21190,b0003,6.23e-31
CD630_21250,b3441,2.7600000000000004e-27
CD630_21280,b2515,4e-121
CD630_21290,b0176,1.3899999999999998e-23
CD630_21300,b0173,3.05e-118
CD630_21350,b0175,1.0799999999999999e-24
CD630_21360,b0174,9.48e-73
CD630_21370,b0172,9.959999999999999e-55
CD630_21380,b0171,2.76e-72
CD630_21390,b0170,8.75e-65
CD630_21400,b0169,9.429999999999999e-90
CD630_21460,b3421,1.19e-33
CD630_21580,b2662,2.7e-76
CD630_21640,b3236,3.03e-12
CD630_21660,b4219,4.55e-41
CD630_21680,b0873,1.4400000000000001e-161
CD630_21760,b1918,7.38e-51
CD630_21770,b1920,4.22e-41
CD630_21780,b0895,2.6799999999999998e-24
CD630_21890,b1317,6.28e-76
CD630_21940,b1594,6.89e-30
CD630_21950,b1905,4.7100000000000006e-27
CD630_21960,b2584,5.68e-45
CD630_22020,b3258,1.46e-17
CD630_22170,b1693,1.41e-97
CD630_22300,b3367,9.76e-55
CD630_22340,b3357,6.82e-12
CD630_22380,b4252,2.11e-13
CD630_22400,b3225,7.06e-66
CD630_22410,b3223,4.659999999999999e-42
CD630_22440,b1490,3.29e-22
CD630_22450,b0930,0.0
CD630_22500,b2493,9.45e-19
CD630_22520,b4146,1.1099999999999999e-39
CD630_22540,b2840,5.1e-92
CD630_22620,b3496,2.33e-57
CD630_22660,b1301,1.0199999999999999e-23
CD630_22690,b2167,6.359999999999999e-128
CD630_22700,b2168,2.02e-44
CD630_22780,b4198,3.9100000000000003e-109
CD630_22860,b2682,4.08e-18
CD630_23220,b2935,3.65e-51
CD630_23230,b3616,1.65e-48
CD630_23250,b2092,8.08e-133
CD630_23260,b4565,1.35e-18
CD630_23310,b3600,3.28e-137
CD630_23340,b3599,1.0999999999999999e-180
CD630_23350,b2508,3.2399999999999995e-67
CD630_23430,b2920,2.85e-149
CD630_23440,b3685,1.86e-14
CD630_23590,b3697,1.2500000000000001e-72
CD630_23610,b0366,1.37e-59
CD630_23670,b3151,5.7e-14
CD630_23700,b0109,5.160000000000001e-66
CD630_23710,b2574,5.76e-88
CD630_23720,b0750,1.75e-58
CD630_23770,b2889,1.05e-13
CD630_23820,b4054,2.68e-18
CD630_23930,b3396,5.95e-39
CD630_24030,b3640,7.750000000000001e-27
CD630_24060,b2074,1.32e-14
CD630_24070,b2076,2.52e-108
CD630_24110,b1703,3.67e-26
CD630_24170,b2703,1.33e-109
CD630_24240,b1439,1.65e-51
CD630_24250,b2458,1.56e-14
CD630_24300,b0272,6.1e-35
CD630_24310,b2763,5.33e-18
CD630_24320,b3559,2.52e-147
CD630_24330,b3560,1.22e-139
CD630_24370,b2566,5.33e-78
CD630_24400,b0659,2.76e-14
CD630_24411,b0660,6.72e-103
CD630_24440,b3203,1.16e-14
CD630_24461,b3065,1.88e-17
CD630_24470,b1103,1.46e-22
CD630_24490,b2946,2.78e-34
CD630_24500,b3259,5.0899999999999994e-30
CD630_24560,b3450,7.979999999999999e-126
CD630_24590,b0394,1.2200000000000001e-31
CD630_24600,b0015,2.71e-131
CD630_24610,b0014,0.0
CD630_24620,b2614,2.54e-31
CD630_24640,b2955,5.62e-65
CD630_24660,b0143,1.46e-34
CD630_24670,b2569,0.0
CD630_24730,b0023,1.16e-11
CD630_24790,b2812,3.86e-45
CD630_24810,b2580,1.14e-82
CD630_24830,b2214,8.04e-39
CD630_24850,b2385,2.4800000000000003e-100
CD630_24860,b2386,1.31e-151
CD630_24870,b2387,1.1e-49
CD630_24930,b3590,1.26e-75
CD630_24950,b3591,1.4200000000000001e-121
CD630_24960,b1764,2.76e-75
CD630_25000,b3960,6.0499999999999995e-149
CD630_25060,b2367,7.52e-44
CD630_25140,b3117,2.88e-83
CD630_25160,b2957,8.859999999999999e-42
CD630_25210,b0642,0.0
CD630_25220,b0637,3.81e-25
CD630_25240,b0639,2.43e-27
CD630_25260,b3432,3.66e-51
CD630_25370,b0480,4.27e-44
CD630_25390,b2268,6.11e-34
CD630_25410,b1729,2.24e-63
CD630_25450,b3533,6.83e-85
CD630_25580,b3634,9.41e-53
CD630_25590,b3465,4.46e-33
CD630_25600,b3652,2.75e-159
CD630_25750,b3386,4.27e-78
CD630_25760,b4161,3.91e-44
CD630_25800,b2517,5.7899999999999996e-74
CD630_25810,b3289,2.43e-64
CD630_25840,b3288,1.57e-87
CD630_25850,b3287,1.24e-38
CD630_25860,b3935,2.3200000000000002e-132
CD630_25870,b3639,2.58e-96
CD630_25880,b3648,1.0200000000000001e-58
CD630_25890,b3644,1.09e-38
CD630_25900,b3809,2.7e-46
CD630_25910,b0870,2.9599999999999997e-90
CD630_25940,b2497,1.09e-84
CD630_25960,b2594,4.09e-74
CD630_25970,b0027,1.53e-15
CD630_26000,b4354,8.26e-22
CD630_26010,b2381,1.83e-87
CD630_26020,b2380,9.96e-71
CD630_26100,b3384,1.44e-136
CD630_26110,b0159,1.07e-43
CD630_26120,b3078,5.13e-39
CD630_26180,b0026,2.25e-109
CD630_26230,b2951,7.45e-43
CD630_26300,b3608,3.23e-94
CD630_26310,b3059,5.49e-33
CD630_26320,b2511,3.66e-101
CD630_26370,b0400,2.67e-40
CD630_26380,b0399,1.92e-62
CD630_26390,b2593,3.23e-20
CD630_26400,b0413,8.41e-44
CD630_26450,b4034,4.19e-14
CD630_26460,b0095,5.0099999999999994e-95
CD630_26510,b0090,1.9800000000000001e-59
CD630_26520,b0089,3.74e-77
CD630_26530,b0088,1.2099999999999998e-52
CD630_26540,b0087,1.03e-76
CD630_26550,b0086,2.26e-60
CD630_26560,b0084,2e-67
CD630_26580,b0082,4.1e-84
CD630_26590,b2828,1.64e-20
CD630_26620,b1203,8.260000000000001e-144
CD630_26640,b0085,1.75e-84
CD630_26650,b3906,1.3900000000000001e-21
CD630_26670,b1101,1.3100000000000001e-157
CD630_26691,b4065,2.3900000000000004e-72
CD630_26700,b1247,5.86e-111
CD630_26710,b1246,1.33e-112
CD630_26730,b0831,1.2900000000000002e-73
CD630_26740,b1485,4.45e-52
CD630_26760,b2844,2.84e-158
CD630_26770,b2221,2.34e-84
CD630_26780,b2222,2.52e-82
CD630_26820,b1378,0.0
CD630_26910,b0125,1.4600000000000001e-64
CD630_26930,b3089,1.4e-11
CD630_26950,b3744,1.1299999999999999e-95
CD630_26980,b4329,2.76e-46
CD630_26990,b4330,5.5000000000000006e-64
CD630_27040,b3714,9.33e-113
CD630_27070,b1690,4.65e-55
CD630_27080,b1692,6.4499999999999995e-90
CD630_27090,b3081,1.1900000000000001e-79
CD630_27130,b1990,4.11e-13
CD630_27140,b0759,4.0999999999999997e-140
CD630_27260,b2551,7.900000000000001e-157
CD630_27360,b0338,3.68e-31
CD630_27370,b0219,2.39e-22
CD630_27380,b0336,3.12e-40
