Modified_enzyme,Core_enzyme,Modifications,Source
VC_0869-MONOMER_mod_mg2(1),VC_0869-MONOMER,mg2(1),Homology
VC_0889-MONOMER_mod_thmpp(1),VC_0889-MONOMER,thmpp(1),Homology
VC_0890-MONOMER_mod_mg2(1),VC_0890-MONOMER,mg2(1),Homology
VC_0890-MONOMER_mod_mn2(1),VC_0890-MONOMER,mn2(1),Homology
VC_0908-MONOMER_mod_mg2(1),VC_0908-MONOMER,mg2(1),Homology
VC_0917-MONOMER_mod_nad(1),VC_0917-MONOMER,nad(1),Homology
VC_0943-MONOMER_mod_4fe4s(2),VC_0943-MONOMER,4fe4s(2),Homology
VC_0962-MONOMER_mod_4fe4s(1),VC_0962-MONOMER,4fe4s(1),Homology
VC_0968-MONOMER_mod_pydx5p(2),VC_0968-MONOMER,pydx5p(2),Homology
VC_0971-MONOMER_mod_mg2(1),VC_0971-MONOMER,mg2(1),Homology
VC_0986-MONOMER_mod_mg2(1),VC_0986-MONOMER,mg2(1),Homology
VC_0991-MONOMER_mod_mg2(1),VC_0991-MONOMER,mg2(1),Homology
VC_0994-MONOMER_mod_zn2(1),VC_0994-MONOMER,zn2(1),Homology
VC_1004-MONOMER_mod_mg2(1),VC_1004-MONOMER,mg2(1),Homology
VC_1006-MONOMER_mod_mg2(4),VC_1006-MONOMER,mg2(4),Homology
VC_1010-MONOMER_mod_ni2(1),VC_1010-MONOMER,ni2(1),Homology
VC_1027-MONOMER_mod_amp(1),VC_1027-MONOMER,amp(1),Homology
VC_1027-MONOMER_mod_coo(1),VC_1027-MONOMER,coo(1),Homology
VC_1027-MONOMER_mod_cosh(1),VC_1027-MONOMER,cosh(1),Homology
VC_1036-MONOMER_mod_zn2(2),VC_1036-MONOMER,zn2(2),Homology
VC_1038-MONOMER_mod_mg2(1),VC_1038-MONOMER,mg2(1),Homology
VC_1053-MONOMER_mod_mg2(1),VC_1053-MONOMER,mg2(1),Homology
VC_1053-MONOMER_mod_mn2(1),VC_1053-MONOMER,mn2(1),Homology
VC_1098-MONOMER_mod_mg2(1),VC_1098-MONOMER,mg2(1),Homology
VC_1110-MONOMER_mod_mg2(1),VC_1110-MONOMER,mg2(1),Homology
VC_1111-MONOMER_mod_pydx5p(1),VC_1111-MONOMER,pydx5p(1),Homology
VC_1112-MONOMER_mod_4fe4s(1)_mod_2fe2s(1),VC_1112-MONOMER,4fe4s(1) AND 2fe2s(1),Homology
VC_1129-MONOMER_mod_k(1)_mod_mg2(1),VC_1129-MONOMER,k(1) AND mg2(1),Homology
VC_1133-MONOMER_mod_mn2(1),VC_1133-MONOMER,mn2(1),Homology
