Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS07420-MONOMER	USA300HOU_RS07420	penicillin-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01645-MONOMER	USA300HOU_RS01645	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07940-MONOMER	USA300HOU_RS07940	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS14230-MONOMER	USA300HOU_RS14230	glutathione peroxidase	
USA300HOU_RS08715-MONOMER	USA300HOU_RS08715	preprotein translocase subunit YajC	CCI-PM-BAC-POS-GP
USA300HOU_RS02575-MONOMER	USA300HOU_RS02575	peptidyl-tRNA hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS00730-MONOMER	USA300HOU_RS00730	2-deoxyribose-5-phosphate aldolase	CCI-CYTOSOL-GP
USA300HOU_RS06265-MONOMER	USA300HOU_RS06265	succinyl-CoA ligase subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS06900-MONOMER	USA300HOU_RS06900	hypothetical protein	
USA300HOU_RS07975-MONOMER	USA300HOU_RS07975	two-component sensor histidine kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS03890-MONOMER	USA300HOU_RS03890	ABC transporter ATP-binding protein	
USA300HOU_RS07790-MONOMER	USA300HOU_RS07790	VRR-NUC domain-containing protein	
USA300HOU_RS05445-MONOMER	USA300HOU_RS05445	peptide deformylase	CCI-CYTOSOL-GP
USA300HOU_RS00505-MONOMER	USA300HOU_RS00505	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13980-MONOMER	USA300HOU_RS13980	DUF2316 domain-containing protein	
USA300HOU_RS14155-MONOMER	USA300HOU_RS14155	oxygen-dependent choline dehydrogenase	CCI-PM-BAC-POS-GP
USA300HOU_RS01050-MONOMER	USA300HOU_RS01050	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14590-MONOMER	USA300HOU_RS14590	SMP-30/gluconolactonase/LRE family protein	
USA300HOU_RS13955-MONOMER	USA300HOU_RS13955	TetR/AcrR family transcriptional regulator	
USA300HOU_RS13425-MONOMER	USA300HOU_RS13425	hypothetical protein	
USA300HOU_RS13870-MONOMER	USA300HOU_RS13870	maltose O-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS14675-MONOMER	USA300HOU_RS14675	membrane protein	CCI-PM-BAC-POS-GP
CPLX1OEB-16	USA300HOU_RS14515 // USA300HOU_RS14525	imidazole glycerol phosphate synthase	
USA300HOU_RS11900-MONOMER	USA300HOU_RS11900	DeoR/GlpR transcriptional regulator	
USA300HOU_RS06950-MONOMER	USA300HOU_RS06950	prephenate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS02985-MONOMER	USA300HOU_RS02985	glucosamine-6-phosphate deaminase	CCI-CYTOSOL-GP
USA300HOU_RS10180-MONOMER	USA300HOU_RS10180	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS08155-MONOMER	USA300HOU_RS08155	acetyl-CoA carboxylase biotin carboxylase subunit	CCI-CYTOSOL-GP
USA300HOU_RS10810-MONOMER	USA300HOU_RS10810	oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS12530-MONOMER	USA300HOU_RS12530	hypothetical protein	
USA300HOU_RS04470-MONOMER	USA300HOU_RS04470	primase	
USA300HOU_RS10510-MONOMER	USA300HOU_RS10510	hypothetical protein	
USA300HOU_RS04380-MONOMER	USA300HOU_RS04380	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06120-MONOMER	USA300HOU_RS06120	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	CCI-CYTOSOL-GP
USA300HOU_RS01930-MONOMER	USA300HOU_RS01930	hypothetical protein	
USA300HOU_RS11765-MONOMER	USA300HOU_RS11765	hypothetical protein	
USA300HOU_RS15220-MONOMER	USA300HOU_RS15220	competence protein	CCI-CYTOSOL-GP
USA300HOU_RS02015-MONOMER	USA300HOU_RS02015	alkyl hydroperoxide reductase subunit F	CCI-PM-BAC-POS-GP
USA300HOU_RS01585-MONOMER	USA300HOU_RS01585	TIGR01741 family protein	
USA300HOU_RS13600-MONOMER	USA300HOU_RS13600	FUSC family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00075-MONOMER	USA300HOU_RS00075	50S ribosomal protein L9	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS08140-MONOMER	USA300HOU_RS08140	exodeoxyribonuclease 7 large subunit	CCI-CYTOSOL-GP
USA300HOU_RS06055-MONOMER	USA300HOU_RS06055	orotate phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06670-MONOMER	USA300HOU_RS06670	hypothetical protein	
USA300HOU_RS01405-MONOMER	USA300HOU_RS01405	D-ribose pyranase	CCI-CYTOSOL-GP
USA300HOU_RS07735-MONOMER	USA300HOU_RS07735	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS11040-MONOMER	USA300HOU_RS11040	ribosomal-protein-alanine N-acetyltransferase	
USA300HOU_RS02000-MONOMER	USA300HOU_RS02000	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00950-MONOMER	USA300HOU_RS00950	4'-phosphopantetheinyl transferase	CCI-CYTOSOL-GP
USA300HOU_RS10865-MONOMER	USA300HOU_RS10865	sphingomyelin phosphodiesterase	CCI-EXTRACELLULAR-GP
USA300HOU_RS13850-MONOMER	USA300HOU_RS13850	MMPL family transporter	
USA300HOU_RS09790-MONOMER	USA300HOU_RS09790	ferrochelatase	CCI-CYTOSOL-GP
USA300HOU_RS10875-MONOMER	USA300HOU_RS10875	bi-component leukocidin LukGH subunit H	CCI-EXTRACELLULAR-GP
USA300HOU_RS10485-MONOMER	USA300HOU_RS10485	phenol-soluble modulin export ABC transporter ATP-binding protein PmtC	CCI-PM-BAC-POS-GP
USA300HOU_RS02525-MONOMER	USA300HOU_RS02525	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS04075-MONOMER	USA300HOU_RS04075	hypothetical protein	
USA300HOU_RS10600-MONOMER	USA300HOU_RS10600	hypothetical protein	
USA300HOU_RS14065-MONOMER	USA300HOU_RS14065	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS05125-MONOMER	USA300HOU_RS05125	DUF1430 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01340-MONOMER	USA300HOU_RS01340	glycosyltransferase family 2 protein	CCI-CYTOSOL-GP
USA300HOU_RS08460-MONOMER	USA300HOU_RS08460	DNA polymerase III subunit delta	CCI-CYTOSOL-GP
CPLX1OEB-11	USA300HOU_RS02850 // USA300HOU_RS02855	DNA-directed RNA polymerase	
USA300HOU_RS13610-MONOMER	USA300HOU_RS13610	DedA family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS15435-MONOMER	USA300HOU_RS15435	hypothetical protein	
USA300HOU_RS10570-MONOMER	USA300HOU_RS10570	CHAP domain-containing protein	
USA300HOU_RS12610-MONOMER	USA300HOU_RS12610	imidazolonepropionase	CCI-CYTOSOL-GP
USA300HOU_RS06375-MONOMER	USA300HOU_RS06375	ribosome maturation factor	CCI-CYTOSOL-GP
USA300HOU_RS06545-MONOMER	USA300HOU_RS06545	glycerol kinase	CCI-CYTOSOL-GP
USA300HOU_RS12935-MONOMER	USA300HOU_RS12935	sensor histidine kinase	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
CPLX1OEB-19	USA300HOU_RS00025 // USA300HOU_RS00030	DNA gyrase	
USA300HOU_RS07205-MONOMER	USA300HOU_RS07205	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	CCI-CYTOSOL-GP
USA300HOU_RS00235-MONOMER	USA300HOU_RS00235	HNH endonuclease	CCI-CYTOSOL-GP
USA300HOU_RS11305-MONOMER	USA300HOU_RS11305	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	CCI-CYTOSOL-GP
USA300HOU_RS12115-MONOMER	USA300HOU_RS12115	50S ribosomal protein L5	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS09805-MONOMER	USA300HOU_RS09805	signal transduction protein TRAP	CCI-CYTOSOL-GP
USA300HOU_RS05440-MONOMER	USA300HOU_RS05440	hypothetical protein	
USA300HOU_RS04400-MONOMER	USA300HOU_RS04400	thioredoxin	CCI-CYTOSOL-GP
USA300HOU_RS13840-MONOMER	USA300HOU_RS13840	ferrous iron transporter B	CCI-PM-BAC-POS-GP
USA300HOU_RS12370-MONOMER	USA300HOU_RS12370	acyl-CoA dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS13615-MONOMER	USA300HOU_RS13615	hypothetical protein	
USA300HOU_RS04250-MONOMER	USA300HOU_RS04250	DUF5067 domain-containing protein	
USA300HOU_RS14395-MONOMER	USA300HOU_RS14395	accessory Sec system translocase SecA2	CCI-CYTOSOL-GP
CPLX1OEB-24	USA300HOU_RS07055 // USA300HOU_RS07060 // USA300HOU_RS07065	predicted ABC transporter of phosphate	
USA300HOU_RS10940-MONOMER	USA300HOU_RS10940	hypothetical protein	
USA300HOU_RS02565-MONOMER	USA300HOU_RS02565	hypothetical protein	
USA300HOU_RS01560-MONOMER	USA300HOU_RS01560	TIGR01741 family protein	
USA300HOU_RS09005-MONOMER	USA300HOU_RS09005	pyruvate kinase	CCI-CYTOSOL-GP
USA300HOU_RS01915-MONOMER	USA300HOU_RS01915	mechanosensitive ion channel family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00690-MONOMER	USA300HOU_RS00690	O-antigen ligase domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14450-MONOMER	USA300HOU_RS14450	peptide-methionine (S)-S-oxide reductase	CCI-CYTOSOL-GP
USA300HOU_RS04550-MONOMER	USA300HOU_RS04550	HlyC/CorC family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS08645-MONOMER	USA300HOU_RS08645	hypothetical protein	
USA300HOU_RS08685-MONOMER	USA300HOU_RS08685	cell wall amidase	
USA300HOU_RS11235-MONOMER	USA300HOU_RS11235	DEAD/DEAH box family ATP-dependent RNA helicase	CCI-CYTOSOL-GP
USA300HOU_RS10525-MONOMER	USA300HOU_RS10525	MAP domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07585-MONOMER	USA300HOU_RS07585	hypothetical protein	
USA300HOU_RS12795-MONOMER	USA300HOU_RS12795	DUF3021 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01690-MONOMER	USA300HOU_RS01690	N-acetylmannosamine-6-phosphate 2-epimerase	CCI-CYTOSOL-GP
USA300HOU_RS10680-MONOMER	USA300HOU_RS10680	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS00040-MONOMER	USA300HOU_RS00040	histidine ammonia-lyase	CCI-CYTOSOL-GP
USA300HOU_RS04475-MONOMER	USA300HOU_RS04475	hypothetical protein	
USA300HOU_RS03160-MONOMER	USA300HOU_RS03160	DUF443 domain-containing protein	
USA300HOU_RS08890-MONOMER	USA300HOU_RS08890	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS01770-MONOMER	USA300HOU_RS01770	multidrug efflux MATE transporter transcriptional repressor MepR	
USA300HOU_RS01950-MONOMER	USA300HOU_RS01950	CAAX amino protease	
USA300HOU_RS04480-MONOMER	USA300HOU_RS04480	hypothetical protein	
USA300HOU_RS03250-MONOMER	USA300HOU_RS03250	HAD family hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS14260-MONOMER	USA300HOU_RS14260	sensor histidine kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS07390-MONOMER	USA300HOU_RS07390	class I SAM-dependent RNA methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06185-MONOMER	USA300HOU_RS06185	3-oxoacyl-[acyl-carrier-protein] reductase	CCI-CYTOSOL-GP
USA300HOU_RS05060-MONOMER	USA300HOU_RS05060	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03640-MONOMER	USA300HOU_RS03640	hypothetical protein	
USA300HOU_RS13890-MONOMER	USA300HOU_RS13890	lactate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS09825-MONOMER	USA300HOU_RS09825	YtxH domain-containing protein	
USA300HOU_RS09165-MONOMER	USA300HOU_RS09165	1-acyl-sn-glycerol-3-phosphate acyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS03035-MONOMER	USA300HOU_RS03035	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	
USA300HOU_RS13680-MONOMER	USA300HOU_RS13680	NAD(P)H-dependent oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS08165-MONOMER	USA300HOU_RS08165	elongation factor P	CCI-CYTOSOL-GP
USA300HOU_RS13410-MONOMER	USA300HOU_RS13410	carboxymuconolactone decarboxylase family protein	CCI-CYTOSOL-GP
USA300HOU_RS11575-MONOMER	USA300HOU_RS11575	NAD(P)-dependent oxidoreductase	
USA300HOU_RS01760-MONOMER	USA300HOU_RS01760	PTS ascorbate transporter subunit IIA	CCI-CYTOSOL-GP
USA300HOU_RS11935-MONOMER	USA300HOU_RS11935	hypothetical protein	
USA300HOU_RS06035-MONOMER	USA300HOU_RS06035	dihydroorotase	CCI-CYTOSOL-GP
USA300HOU_RS05050-MONOMER	USA300HOU_RS05050	hypothetical protein	
USA300HOU_RS15055-MONOMER	USA300HOU_RS15055	hypothetical protein	
USA300HOU_RS04945-MONOMER	USA300HOU_RS04945	transcriptional regulator Spx	
USA300HOU_RS11965-MONOMER	USA300HOU_RS11965	acetolactate synthase AlsS	CCI-PM-BAC-POS-GP
USA300HOU_RS14180-MONOMER	USA300HOU_RS14180	BCCT family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS15455-MONOMER	USA300HOU_RS15455	hypothetical protein	
USA300HOU_RS03830-MONOMER	USA300HOU_RS03830	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03590-MONOMER	USA300HOU_RS03590	inorganic phosphate transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS05985-MONOMER	USA300HOU_RS05985	S4 RNA-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS04600-MONOMER	USA300HOU_RS04600	TIGR01457 family HAD-type hydrolase	
USA300HOU_RS13505-MONOMER	USA300HOU_RS13505	hypothetical protein	
USA300HOU_RS04540-MONOMER	USA300HOU_RS04540	chorismate mutase	
USA300HOU_RS10990-MONOMER	USA300HOU_RS10990	sucrose-6-phosphate hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS03770-MONOMER	USA300HOU_RS03770	DeoR/GlpR transcriptional regulator	
USA300HOU_RS12595-MONOMER	USA300HOU_RS12595	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09915-MONOMER	USA300HOU_RS09915	tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL	
USA300HOU_RS06320-MONOMER	USA300HOU_RS06320	hypothetical protein	
USA300HOU_RS08050-MONOMER	USA300HOU_RS08050	AraC family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS02335-MONOMER	USA300HOU_RS02335	ABC transporter substrate-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04030-MONOMER	USA300HOU_RS04030	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03270-MONOMER	USA300HOU_RS03270	alpha/beta hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS07525-MONOMER	USA300HOU_RS07525	heptaprenyl pyrophosphate synthase subunit A	CCI-CYTOSOL-GP
USA300HOU_RS12625-MONOMER	USA300HOU_RS12625	metallothiol transferase FosB	CCI-CYTOSOL-GP
USA300HOU_RS08545-MONOMER	USA300HOU_RS08545	divalent metal cation transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS05330-MONOMER	USA300HOU_RS05330	amidophosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS04620-MONOMER	USA300HOU_RS04620	D-alanine--poly(phosphoribitol) ligase	CCI-CYTOSOL-GP
USA300HOU_RS07245-MONOMER	USA300HOU_RS07245	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS03565-MONOMER	USA300HOU_RS03565	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS04580-MONOMER	USA300HOU_RS04580	lipoyl synthase	CCI-CYTOSOL-GP
USA300HOU_RS04810-MONOMER	USA300HOU_RS04810	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09105-MONOMER	USA300HOU_RS09105	hypothetical protein	
USA300HOU_RS00845-MONOMER	USA300HOU_RS00845	O-antigen ligase family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01450-MONOMER	USA300HOU_RS01450	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02545-MONOMER	USA300HOU_RS02545	stage V sporulation protein G	CCI-CYTOSOL-GP
USA300HOU_RS14165-MONOMER	USA300HOU_RS14165	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS06455-MONOMER	USA300HOU_RS06455	DUF3388 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS01865-MONOMER	USA300HOU_RS01865	ABC-2 transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS01080-MONOMER	USA300HOU_RS01080	FMN-dependent NADH-azoreductase	CCI-CYTOSOL-GP
USA300HOU_RS06010-MONOMER	USA300HOU_RS06010	lipoprotein signal peptidase	CCI-PM-BAC-POS-GP
USA300HOU_RS09325-MONOMER	USA300HOU_RS09325	DUF1542 domain-containing protein	CCI-CW-BAC-POS-GP
USA300HOU_RS03520-MONOMER	USA300HOU_RS03520	dihydroxyacetone kinase subunit L	
USA300HOU_RS05325-MONOMER	USA300HOU_RS05325	phosphoribosylformylglycinamidine synthase subunit PurL	CCI-CYTOSOL-GP
USA300HOU_RS01505-MONOMER	USA300HOU_RS01505	protein EssB	
USA300HOU_RS03820-MONOMER	USA300HOU_RS03820	DoxX family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05915-MONOMER	USA300HOU_RS05915	bacillithiol biosynthesis cysteine-adding enzyme BshC	CCI-CYTOSOL-GP
USA300HOU_RS07820-MONOMER	USA300HOU_RS07820	hypothetical protein	
USA300HOU_RS11140-MONOMER	USA300HOU_RS11140	RNA-binding transcriptional accessory protein	CCI-CYTOSOL-GP
USA300HOU_RS12480-MONOMER	USA300HOU_RS12480	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS05160-MONOMER	USA300HOU_RS05160	ABC transporter substrate-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10440-MONOMER	USA300HOU_RS10440	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS05220-MONOMER	USA300HOU_RS05220	aminotransferase class V-fold PLP-dependent enzyme	CCI-CYTOSOL-GP
USA300HOU_RS07365-MONOMER	USA300HOU_RS07365	5'-3' exonuclease	
USA300HOU_RS03170-MONOMER	USA300HOU_RS03170	DUF443 domain-containing protein	
USA300HOU_RS08275-MONOMER	USA300HOU_RS08275	5-formyltetrahydrofolate cyclo-ligase	CCI-PM-BAC-POS-GP
USA300HOU_RS13240-MONOMER	USA300HOU_RS13240	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08240-MONOMER	USA300HOU_RS08240	type II secretion system F family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10425-MONOMER	USA300HOU_RS10425	manganese-dependent inorganic pyrophosphatase	CCI-CYTOSOL-GP
USA300HOU_RS05570-MONOMER	USA300HOU_RS05570	protoheme IX farnesyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS09695-MONOMER	USA300HOU_RS09695	lanthionine synthetase	CCI-CYTOSOL-GP
USA300HOU_RS03875-MONOMER	USA300HOU_RS03875	allophanate hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS04680-MONOMER	USA300HOU_RS04680	PaaI family thioesterase	
USA300HOU_RS07605-MONOMER	USA300HOU_RS07605	ferredoxin	CCI-CYTOSOL-GP
USA300HOU_RS09395-MONOMER	USA300HOU_RS09395	riboflavin synthase	CCI-CYTOSOL-GP
CPLX1OEB-1	USA300HOU_RS11090 // USA300HOU_RS11095	3-isopropylmalate dehydratase	
USA300HOU_RS07645-MONOMER	USA300HOU_RS07645	Panton-Valentine bi-component leukocidin subunit F	CCI-EXTRACELLULAR-GP
USA300HOU_RS02420-MONOMER	USA300HOU_RS02420	YbaB/EbfC family nucleoid-associated protein	CCI-BAC-NUCLEOID-GP // CCI-CYTOSOL-GP
CPLX1OEB-23	USA300HOU_RS11205 // USA300HOU_RS11210 // USA300HOU_RS11215	predicted ATP-driven transporter of K+	
USA300HOU_RS09875-MONOMER	USA300HOU_RS09875	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS11240-MONOMER	USA300HOU_RS11240	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	CCI-CYTOSOL-GP
USA300HOU_RS00165-MONOMER	USA300HOU_RS00165	beta-lactam sensor/signal transducer MecR1	CCI-PM-BAC-POS-GP
USA300HOU_RS15195-MONOMER	USA300HOU_RS15195	terminase	
CPLX1OEB-32	USA300HOU_RS04905 // USA300HOU_RS04910	predicted ABC transporter of a peptide	
USA300HOU_RS04270-MONOMER	USA300HOU_RS04270	clumping factor A	CCI-CW-BAC-POS-GP
USA300HOU_RS10205-MONOMER	USA300HOU_RS10205	protein-tyrosine-phosphatase	CCI-CYTOSOL-GP
USA300HOU_RS05980-MONOMER	USA300HOU_RS05980	YggT family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03675-MONOMER	USA300HOU_RS03675	N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS07985-MONOMER	USA300HOU_RS07985	rRNA pseudouridine synthase	CCI-CYTOSOL-GP
USA300HOU_RS06025-MONOMER	USA300HOU_RS06025	uracil permease	CCI-PM-BAC-POS-GP
USA300HOU_RS14220-MONOMER	USA300HOU_RS14220	assimilatory sulfite reductase (NADPH) flavoprotein subunit	CCI-PM-BAC-POS-GP
USA300HOU_RS12695-MONOMER	USA300HOU_RS12695	magnesium and cobalt transport protein CorA	CCI-PM-BAC-POS-GP
USA300HOU_RS04420-MONOMER	USA300HOU_RS04420	site-specific integrase	
USA300HOU_RS00170-MONOMER	USA300HOU_RS00170	DUF3387 domain-containing protein	
USA300HOU_RS13345-MONOMER	USA300HOU_RS13345	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05110-MONOMER	USA300HOU_RS05110	CPBP family intramembrane metalloprotease	CCI-PM-BAC-POS-GP
USA300HOU_RS13595-MONOMER	USA300HOU_RS13595	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS08520-MONOMER	USA300HOU_RS08520	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	CCI-CYTOSOL-GP
USA300HOU_RS11400-MONOMER	USA300HOU_RS11400	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	CCI-CYTOSOL-GP
USA300HOU_RS00920-MONOMER	USA300HOU_RS00920	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS11160-MONOMER	USA300HOU_RS11160	serine phosphatase	CCI-CYTOSOL-GP
USA300HOU_RS12850-MONOMER	USA300HOU_RS12850	hypothetical protein	
USA300HOU_RS05895-MONOMER	USA300HOU_RS05895	beta-class phenol-soluble modulin	
USA300HOU_RS08660-MONOMER	USA300HOU_RS08660	replication-associated recombination protein A	CCI-CYTOSOL-GP
USA300HOU_RS08265-MONOMER	USA300HOU_RS08265	DUF910 domain-containing protein	
USA300HOU_RS01905-MONOMER	USA300HOU_RS01905	cystathionine gamma-synthase	CCI-CYTOSOL-GP
USA300HOU_RS13100-MONOMER	USA300HOU_RS13100	bi-component gamma-hemolysin HlgCB subunit C	CCI-EXTRACELLULAR-GP
USA300HOU_RS04105-MONOMER	USA300HOU_RS04105	excinuclease ABC subunit UvrB	CCI-CYTOSOL-GP
USA300HOU_RS03685-MONOMER	USA300HOU_RS03685	YaiI/YqxD family protein	
USA300HOU_RS04495-MONOMER	USA300HOU_RS04495	CAAX amino protease	
USA300HOU_RS11405-MONOMER	USA300HOU_RS11405	uracil phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS00620-MONOMER	USA300HOU_RS00620	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS04110-MONOMER	USA300HOU_RS04110	excinuclease ABC subunit UvrA	CCI-CYTOSOL-GP
USA300HOU_RS02400-MONOMER	USA300HOU_RS02400	trehalose operon repressor	CCI-CYTOSOL-GP
USA300HOU_RS00695-MONOMER	USA300HOU_RS00695	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06850-MONOMER	USA300HOU_RS06850	exonuclease sbcCD subunit D	CCI-CYTOSOL-GP
USA300HOU_RS04090-MONOMER	USA300HOU_RS04090	peptidase M23	CCI-EXTRACELLULAR-GP
USA300HOU_RS04615-MONOMER	USA300HOU_RS04615	teichoic acid D-Ala incorporation-associated protein DltX	
USA300HOU_RS13175-MONOMER	USA300HOU_RS13175	glycerate kinase	CCI-CYTOSOL-GP
USA300HOU_RS09205-MONOMER	USA300HOU_RS09205	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS10140-MONOMER	USA300HOU_RS10140	metal-dependent hydrolase	CCI-PM-BAC-POS-GP
USA300HOU_RS04360-MONOMER	USA300HOU_RS04360	nitroreductase	CCI-CYTOSOL-GP
USA300HOU_RS07885-MONOMER	USA300HOU_RS07885	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS05850-MONOMER	USA300HOU_RS05850	superantigen-like protein SSL13	CCI-EXTRACELLULAR-GP
USA300HOU_RS03555-MONOMER	USA300HOU_RS03555	N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS05665-MONOMER	USA300HOU_RS05665	hemin ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS11340-MONOMER	USA300HOU_RS11340	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS03260-MONOMER	USA300HOU_RS03260	hypothetical protein	
USA300HOU_RS04900-MONOMER	USA300HOU_RS04900	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04595-MONOMER	USA300HOU_RS04595	DUF86 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS04570-MONOMER	USA300HOU_RS04570	sulfite exporter TauE/SafE family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05370-MONOMER	USA300HOU_RS05370	hypothetical protein	
USA300HOU_RS03860-MONOMER	USA300HOU_RS03860	aminodeoxychorismate lyase	CCI-CYTOSOL-GP
USA300HOU_RS09620-MONOMER	USA300HOU_RS09620	type I restriction-modification system subunit M	
USA300HOU_RS02210-MONOMER	USA300HOU_RS02210	tandem-type lipoprotein Lpl4	
USA300HOU_RS08505-MONOMER	USA300HOU_RS08505	shikimate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS07935-MONOMER	USA300HOU_RS07935	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS14955-MONOMER	USA300HOU_RS14955	NAD(P)/FAD-dependent oxidoreductase	
USA300HOU_RS10530-MONOMER	USA300HOU_RS10530	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14255-MONOMER	USA300HOU_RS14255	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08080-MONOMER	USA300HOU_RS08080	hypothetical protein	CCI-CYTOSOL-GP
