Reaction	Complexes
GLYOX_1	ALW85_RS07470-MONOMER_mod_ni2(1)
GLYTRS	CPLX-tRNA-GLY-LIGASE
GMPS	ALW85_RS00520-MONOMER_mod_mg2(1)
GMPS2	ALW85_RS00520-MONOMER_mod_mg2(1)
GND	ALW85_RS02100-MONOMER
GP4GH	ALW85_RS03220-MONOMER
GRTT	ALW85_RS06025-MONOMER_mod_mg2(1) OR ALW85_RS06025-MONOMER_mod_mn2(1)
GRXR	ALW85_RS11555-MONOMER
GTHPi	ALW85_RS06260-MONOMER
GTHRDabc2pp	CPLX_CYSabc2pp-0
GTHRDabcpp	CPLX_GTHRDabcpp-0
GTHS	ALW85_RS06740-MONOMER_mod_mg2(1)
GTPCI	ALW85_RS06040-MONOMER
GTPCII	ALW85_RS13330-MONOMER_mod_mg2(1)
GTPDPK	ALW85_RS01940-MONOMER_mod_mn2(1)
