Modified_enzyme	Core_enzyme	Modifications	Source
Transcription_stable_rho_independent_II_mod_mg2(1)	Transcription_stable_rho_independent_II	mg2(1)	iJL965
Transcription_stable_rho_independent_III_mod_mg2(1)	Transcription_stable_rho_independent_III	mg2(1)	iJL965
Transcription_stable_rho_dependent_I_mod_mg2(1)	Transcription_stable_rho_dependent_I	mg2(1)	iJL965
Transcription_stable_rho_dependent_II_mod_mg2(1)	Transcription_stable_rho_dependent_II	mg2(1)	iJL965
Transcription_stable_rho_dependent_III_mod_mg2(1)	Transcription_stable_rho_dependent_III	mg2(1)	iJL965
YgeX_dim_mod_pydx5p(1)	YgeX_dim	pydx5p(1)	iJL965
CysK_mono_mod_pydx5p(1)	CysK_mono	pydx5p(1)	iJL965
PDX5PO_CPLX_mod_fmn(1)	PDX5PO_CPLX	fmn(1)	iJL965
Fdx_mod_2fe2s(1)	Fdx	2fe2s(1)	iJL965
FdxII_mod_2fe2s(1)	FdxII	2fe2s(1)	iJL965
FdxIII_mod_2fe2s(1)	FdxIII	2fe2s(1)	iJL965
FdxIV_mod_4fe4s(1)	FdxIV	4fe4s(1)	iJL965
Mop_mono_mod_2fe2s(1)	Mop_mono	2fe2s(1)	iJL965
MopII_mono_mod_2fe2s(1)	MopII_mono	2fe2s(1)	iJL965
