Reaction	Complexes
OIVD2	CPLX_OIVD1r-0
OIVD3	CPLX_OIVD1r-0
OMPDC	LLMG_RS05620-MONOMER
ORNCD_1	LLMG_RS05835-MONOMER
ORNTAC_1	LLMG_RS08830-MONOMER
ORPT	LLMG_RS07605-MONOMER
P5CR	LLMG_RS10365-MONOMER
PAPPT1	LLMG_RS08440-MONOMER
PC	LLMG_RS03310-MONOMER
PDH	CPLX_OIVD1r-0
PFK	LLMG_RS05680-MONOMER_mod_mg2(1)
PFK_2	LLMG_RS07905-MONOMER_mod_mg2(1)
PFL	CPLX_PFL-0
PGAMT	LLMG_RS02290-MONOMER
PGCD	LLMG_RS02945-MONOMER OR LLMG_RS11240-MONOMER
PGGT2	CPLX_PGGT2-0 OR CPLX_PGGT2-1
PGI	LLMG_RS12290-MONOMER
PGK	LLMG_RS01325-MONOMER
PGL	LLMG_RS12210-MONOMER
PGM	LLMG_RS01830-MONOMER_mod_23bpg(1) OR LLMG_RS09625-MONOMER OR LLMG_RS07955-MONOMER
PGMT	LLMG_RS02290-MONOMER
PGMT_B	LLMG_RS02315-MONOMER
PGSA_LLA	LLMG_RS11155-MONOMER_mod_mg2(1)
PHETA1_copy1	LLMG_RS00370-MONOMER OR LLMG_RS10105-MONOMER
PHETA1_copy2	LLMG_RS06585-MONOMER_mod_pydx5p(1)
PHETRS_1	CPLX-tRNA-PHE-LIGASE_mod_mg2(1)
PIabc	CPLX_PPIabc-0
PMEVK	LLMG_RS02180-MONOMER
PMPK	LLMG_RS02355-MONOMER OR LLMG_RS06150-MONOMER
PNTK	LLMG_RS05370-MONOMER_mod_mg2(1)
POR	LLMG_RS02275-MONOMER_mod_thmpp(1)
PPA	LLMG_RS10000-MONOMER
PPCDC	LLMG_RS02840-MONOMER_mod_fmn(1) OR LLMG_RS02840-MONOMER_mod_mg2(1)
PPIabc	CPLX_PPIabc-0
PPM	LLMG_RS08060-MONOMER_mod_mn2(1)
PPM2	LLMG_RS08060-MONOMER_mod_mn2(1)
PPNCL	LLMG_RS02840-MONOMER_mod_fmn(1) OR LLMG_RS02840-MONOMER_mod_mg2(1)
PPND	LLMG_RS09645-MONOMER
PPNDH	LLMG_RS09630-MONOMER
PPYRDC	LLMG_RS11035-MONOMER
PRAGSr	LLMG_RS05075-MONOMER_mod_mg2(1)
PRAIS_1	LLMG_RS05020-MONOMER_mod_k(1)_mod_mg2(1)
PRAIi	LLMG_RS05270-MONOMER
PRAMPC_1	LLMG_RS06535-MONOMER
PRASCSi	LLMG_RS04950-MONOMER
PRATPP	LLMG_RS06535-MONOMER
PREN	LLMG_RS01035-MONOMER_mod_mg2(1)
PRFGS_1	CPLX_PRFGS_1-0
