Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS00585-MONOMER	ABC transporter ATP-binding protein	ABAYE_RS00585	CCI-CYTOSOL-GN
ABAYE_RS09295-MONOMER	RND transporter	ABAYE_RS09295	CCI-OUTER-MEM-GN
ABAYE_RS08585-MONOMER	hypothetical protein	ABAYE_RS08585	CCI-EXTRACELLULAR-GN // CCO-MEMBRANE
ABAYE_RS13520-MONOMER	hypothetical protein	ABAYE_RS13520	
ABAYE_RS05650-MONOMER	adenylosuccinate lyase	ABAYE_RS05650	CCI-CYTOSOL-GN
ABAYE_RS08995-MONOMER	pyridine nucleotide-disulfide oxidoreductase	ABAYE_RS08995	
ABAYE_RS03155-MONOMER	PHP domain-containing protein	ABAYE_RS03155	CCI-CYTOSOL-GN
ABAYE_RS12020-MONOMER	FAD-binding oxidoreductase	ABAYE_RS12020	
ABAYE_RS10470-MONOMER	MotA/TolQ/ExbB proton channel family protein	ABAYE_RS10470	CCO-MEMBRANE
ABAYE_RS13805-MONOMER	META domain-containing protein	ABAYE_RS13805	
ABAYE_RS19325-MONOMER	membrane protein insertase YidC	ABAYE_RS19325	CCI-PM-BAC-NEG-GN
ABAYE_RS00515-MONOMER	hypothetical protein	ABAYE_RS00515	CCI-CYTOSOL-GN
ABAYE_RS02585-MONOMER	30S ribosomal protein S3	ABAYE_RS02585	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS08970-MONOMER	2,4-dienoyl-CoA reductase	ABAYE_RS08970	CCI-CYTOSOL-GN
ABAYE_RS09300-MONOMER	hypothetical protein	ABAYE_RS09300	CCI-CYTOSOL-GN
ABAYE_RS07075-MONOMER	hypothetical protein	ABAYE_RS07075	
ABAYE_RS17040-MONOMER	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	ABAYE_RS17040	CCI-CYTOSOL-GN
ABAYE_RS08880-MONOMER	NAD-dependent phenylacetaldehyde dehydrogenase	ABAYE_RS08880	CCI-CYTOSOL-GN
ABAYE_RS17525-MONOMER	tRNA glutamyl-Q(34) synthetase GluQRS	ABAYE_RS17525	CCI-CYTOSOL-GN
ABAYE_RS04060-MONOMER	rod shape-determining protein	ABAYE_RS04060	CCI-CYTOSOL-GN
ABAYE_RS06080-MONOMER	alpha/beta hydrolase	ABAYE_RS06080	
ABAYE_RS16025-MONOMER	hypothetical protein	ABAYE_RS16025	
ABAYE_RS13965-MONOMER	FAD-dependent oxidoreductase	ABAYE_RS13965	CCI-CYTOSOL-GN
ABAYE_RS02105-MONOMER	type IV pilus modification protein PilV	ABAYE_RS02105	CCI-PM-BAC-NEG-GN
ABAYE_RS16085-MONOMER	aconitate hydratase AcnA	ABAYE_RS16085	CCI-CYTOSOL-GN
ABAYE_RS05415-MONOMER	NADP-dependent isocitrate dehydrogenase	ABAYE_RS05415	CCI-CYTOSOL-GN
ABAYE_RS12895-MONOMER	nuclease	ABAYE_RS12895	CCI-OUTER-MEM-GN
ABAYE_RS18435-MONOMER	AraC family transcriptional regulator	ABAYE_RS18435	CCI-CYTOSOL-GN
ABAYE_RS14465-MONOMER	MFS transporter	ABAYE_RS14465	CCI-PM-BAC-NEG-GN
ABAYE_RS06170-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS06170	CCI-PM-BAC-NEG-GN
ABAYE_RS03435-MONOMER	branched-chain amino acid transaminase	ABAYE_RS03435	CCI-CYTOSOL-GN
ABAYE_RS11605-MONOMER	thioesterase family protein	ABAYE_RS11605	CCI-CYTOSOL-GN
ABAYE_RS08950-MONOMER	GguC protein	ABAYE_RS08950	CCI-CYTOSOL-GN
ABAYE_RS14395-MONOMER	hypothetical protein	ABAYE_RS14395	CCO-MEMBRANE
ABAYE_RS10605-MONOMER	3-deoxy-manno-octulosonate cytidylyltransferase	ABAYE_RS10605	CCI-CYTOSOL-GN
ABAYE_RS19925-MONOMER	class 1 integron integrase IntI1	ABAYE_RS19925	CCI-CYTOSOL-GN
ABAYE_RS00440-MONOMER	type II toxin-antitoxin system RelE/ParE family toxin	ABAYE_RS00440	
ABAYE_RS06250-MONOMER	lytic murein transglycosylase B	ABAYE_RS06250	CCI-PM-BAC-NEG-GN
ABAYE_RS08030-MONOMER	hypothetical protein	ABAYE_RS08030	
ABAYE_RS17605-MONOMER	LPS export ABC transporter permease LptG	ABAYE_RS17605	CCI-PM-BAC-NEG-GN
ABAYE_RS05945-MONOMER	ABC transporter ATP-binding protein	ABAYE_RS05945	CCI-PM-BAC-NEG-GN
ABAYE_RS16160-MONOMER	DNA polymerase III subunit delta	ABAYE_RS16160	
ABAYE_RS13190-MONOMER	tannase/feruloyl esterase family alpha/beta hydrolase	ABAYE_RS13190	
ABAYE_RS19190-MONOMER	hypothetical protein	ABAYE_RS19190	
ABAYE_RS11490-MONOMER	NAD(P)-dependent oxidoreductase	ABAYE_RS11490	CCI-CYTOSOL-GN
ABAYE_RS18775-MONOMER	DUF1003 domain-containing protein	ABAYE_RS18775	CCI-CYTOSOL-GN
ABAYE_RS18285-MONOMER	MFS transporter	ABAYE_RS18285	CCI-PM-BAC-NEG-GN
ABAYE_RS03615-MONOMER	acetyl-CoA carboxylase carboxyl transferase subunit beta	ABAYE_RS03615	CCI-CYTOSOL-GN
ABAYE_RS02695-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS02695	CCI-CYTOSOL-GN
ABAYE_RS09785-MONOMER	AraC family transcriptional regulator	ABAYE_RS09785	CCI-CYTOSOL-GN
ABAYE_RS07750-MONOMER	SCPU domain-containing protein	ABAYE_RS07750	CCI-EXTRACELLULAR-GN
ABAYE_RS14015-MONOMER	carbonic anhydrase	ABAYE_RS14015	CCI-CYTOSOL-GN
ABAYE_RS15850-MONOMER	transporter	ABAYE_RS15850	CCI-PM-BAC-NEG-GN
ABAYE_RS01425-MONOMER	transcriptional regulator	ABAYE_RS01425	CCI-CYTOSOL-GN
ABAYE_RS06320-MONOMER	LysR family transcriptional regulator	ABAYE_RS06320	CCI-CYTOSOL-GN
ABAYE_RS16435-MONOMER	hypothetical protein	ABAYE_RS16435	
ABAYE_RS13500-MONOMER	hypothetical protein	ABAYE_RS13500	CCI-PM-BAC-NEG-GN
ABAYE_RS01780-MONOMER	imidazole glycerol phosphate synthase subunit HisH	ABAYE_RS01780	CCI-CYTOSOL-GN
ABAYE_RS11320-MONOMER	triphosphoribosyl-dephospho-CoA synthase	ABAYE_RS11320	CCI-CYTOSOL-GN
ABAYE_RS08310-MONOMER	hypothetical protein	ABAYE_RS08310	
ABAYE_RS09665-MONOMER	dipeptidase	ABAYE_RS09665	CCI-CYTOSOL-GN
ABAYE_RS02350-MONOMER	hypothetical protein	ABAYE_RS02350	
ABAYE_RS05040-MONOMER	tol-pal system-associated acyl-CoA thioesterase	ABAYE_RS05040	CCI-CYTOSOL-GN
ABAYE_RS15925-MONOMER	NAD(P)(+) transhydrogenase (Re/Si-specific) subunit alpha	ABAYE_RS15925	CCI-PM-BAC-NEG-GN
ABAYE_RS08135-MONOMER	TusE/DsrC/DsvC family sulfur relay protein	ABAYE_RS08135	
ABAYE_RS09970-MONOMER	dihydrolipoyl dehydrogenase	ABAYE_RS09970	CCI-CYTOSOL-GN
ABAYE_RS18930-MONOMER	membrane protein	ABAYE_RS18930	CCI-OUTER-MEM-GN
ABAYE_RS08965-MONOMER	alpha/beta hydrolase	ABAYE_RS08965	CCI-CYTOSOL-GN
ABAYE_RS02825-MONOMER	energy transducer TonB	ABAYE_RS02825	CCI-CYTOSOL-GN
ABAYE_RS16105-MONOMER	peptide chain release factor 3	ABAYE_RS16105	CCI-CYTOSOL-GN
ABAYE_RS16345-MONOMER	DUF2059 domain-containing protein	ABAYE_RS16345	
ABAYE_RS04645-MONOMER	type I secretion C-terminal target domain-containing protein	ABAYE_RS04645	
ABAYE_RS12540-MONOMER	site-specific integrase	ABAYE_RS12540	
ABAYE_RS11110-MONOMER	dicarboxylate/amino acid:cation symporter	ABAYE_RS11110	CCI-PM-BAC-NEG-GN
ABAYE_RS17345-MONOMER	50S ribosomal protein L10	ABAYE_RS17345	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS17330-MONOMER	DNA-directed RNA polymerase subunit beta'	ABAYE_RS17330	CCI-CYTOSOL-GN
ABAYE_RS01715-MONOMER	hypothetical protein	ABAYE_RS01715	
ABAYE_RS02355-MONOMER	glycine--tRNA ligase subunit beta	ABAYE_RS02355	CCI-CYTOSOL-GN
ABAYE_RS06800-MONOMER	general secretion pathway protein GspL	ABAYE_RS06800	CCI-PM-BAC-NEG-GN // CCI-CW-BAC-NEG-GN
ABAYE_RS13735-MONOMER	hypothetical protein	ABAYE_RS13735	CCI-CYTOSOL-GN
ABAYE_RS02325-MONOMER	hypothetical protein	ABAYE_RS02325	
ABAYE_RS02265-MONOMER	hypothetical protein	ABAYE_RS02265	CCI-CYTOSOL-GN
ABAYE_RS04810-MONOMER	DNA repair protein RadA	ABAYE_RS04810	CCI-CYTOSOL-GN
ABAYE_RS17165-MONOMER	hypothetical protein	ABAYE_RS17165	
ABAYE_RS05110-MONOMER	hypothetical protein	ABAYE_RS05110	
ABAYE_RS09285-MONOMER	hypothetical protein	ABAYE_RS09285	CCI-CYTOSOL-GN
ABAYE_RS15885-MONOMER	hybrid sensor histidine kinase/response regulator	ABAYE_RS15885	CCI-PM-BAC-NEG-GN
ABAYE_RS04925-MONOMER	lipoprotein-releasing system transmembrane subunit LolC	ABAYE_RS04925	CCI-PM-BAC-NEG-GN
ABAYE_RS10050-MONOMER	hypothetical protein	ABAYE_RS10050	
ABAYE_RS01525-MONOMER	DUF475 domain-containing protein	ABAYE_RS01525	CCI-PM-BAC-NEG-GN
ABAYE_RS18710-MONOMER	methylmalonate-semialdehyde dehydrogenase (CoA acylating)	ABAYE_RS18710	CCI-CYTOSOL-GN
ABAYE_RS16935-MONOMER	type II secretion system protein GspF	ABAYE_RS16935	CCI-PM-BAC-NEG-GN
ABAYE_RS04025-MONOMER	DUF4850 domain-containing protein	ABAYE_RS04025	
ABAYE_RS18550-MONOMER	pirin family protein	ABAYE_RS18550	CCI-CYTOSOL-GN
ABAYE_RS02250-MONOMER	hypothetical protein	ABAYE_RS02250	CCI-PERI-BAC-GN
ABAYE_RS15250-MONOMER	NADH-quinone oxidoreductase subunit B	ABAYE_RS15250	CCI-PM-BAC-NEG-GN
ABAYE_RS18635-MONOMER	hypothetical protein	ABAYE_RS18635	CCI-OUTER-MEM-GN
ABAYE_RS13135-MONOMER	oxidoreductase	ABAYE_RS13135	CCI-CYTOSOL-GN
ABAYE_RS08925-MONOMER	LysR family transcriptional regulator	ABAYE_RS08925	CCI-CYTOSOL-GN
ABAYE_RS07420-MONOMER	LysR family transcriptional regulator	ABAYE_RS07420	CCI-CYTOSOL-GN
ABAYE_RS02335-MONOMER	EamA family transporter	ABAYE_RS02335	CCI-PM-BAC-NEG-GN
ABAYE_RS16030-MONOMER	hypothetical protein	ABAYE_RS16030	
ABAYE_RS11985-MONOMER	L-serine ammonia-lyase	ABAYE_RS11985	CCI-CYTOSOL-GN
ABAYE_RS09500-MONOMER	hypothetical protein	ABAYE_RS09500	
ABAYE_RS05895-MONOMER	siderophore ABC transporter ATP-binding protein	ABAYE_RS05895	CCI-CYTOSOL-GN
ABAYE_RS12840-MONOMER	aromatic acid/H+ symport family MFS transporter	ABAYE_RS12840	CCI-PM-BAC-NEG-GN
ABAYE_RS09905-MONOMER	chromate transporter	ABAYE_RS09905	CCI-PM-BAC-NEG-GN
ABAYE_RS02725-MONOMER	hypothetical protein	ABAYE_RS02725	CCO-MEMBRANE
ABAYE_RS05285-MONOMER	hypothetical protein	ABAYE_RS05285	CCI-CYTOSOL-GN
ABAYE_RS16760-MONOMER	phosphoglycolate phosphatase	ABAYE_RS16760	CCI-CYTOSOL-GN
ABAYE_RS01555-MONOMER	amino acid permease	ABAYE_RS01555	CCI-PM-BAC-NEG-GN
ABAYE_RS01150-MONOMER	SH3 domain-containing protein	ABAYE_RS01150	
ABAYE_RS01055-MONOMER	sulfurtransferase	ABAYE_RS01055	CCI-CYTOSOL-GN
ABAYE_RS03905-MONOMER	radical SAM protein	ABAYE_RS03905	CCI-CYTOSOL-GN
ABAYE_RS18160-MONOMER	arsenical-resistance protein	ABAYE_RS18160	CCI-PM-BAC-NEG-GN
ABAYE_RS18375-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS18375	CCI-CYTOSOL-GN
ABAYE_RS16205-MONOMER	glutaredoxin 3	ABAYE_RS16205	CCI-CYTOSOL-GN
ABAYE_RS08830-MONOMER	hypothetical protein	ABAYE_RS08830	
ABAYE_RS15490-MONOMER	copper resistance protein B	ABAYE_RS15490	CCI-OUTER-MEM-GN
ABAYE_RS07305-MONOMER	peptidase	ABAYE_RS07305	
ABAYE_RS08365-MONOMER	universal stress protein	ABAYE_RS08365	
ABAYE_RS09570-MONOMER	type 1 fimbrial protein	ABAYE_RS09570	CCI-EXTRACELLULAR-GN // CCI-PILUS-GN
ABAYE_RS12000-MONOMER	MFS transporter	ABAYE_RS12000	CCI-PM-BAC-NEG-GN
ABAYE_RS19105-MONOMER	peptidylprolyl isomerase	ABAYE_RS19105	CCI-CYTOSOL-GN
ABAYE_RS09890-MONOMER	ferredoxin family protein	ABAYE_RS09890	
ABAYE_RS08025-MONOMER	MFS transporter	ABAYE_RS08025	
ABAYE_RS01840-MONOMER	aminotransferase class V-fold PLP-dependent enzyme	ABAYE_RS01840	CCI-CYTOSOL-GN
ABAYE_RS01590-MONOMER	FAD-binding protein	ABAYE_RS01590	CCI-CYTOSOL-GN
ABAYE_RS11020-MONOMER	methionine ABC transporter ATP-binding protein	ABAYE_RS11020	CCI-PM-BAC-NEG-GN
ABAYE_RS02015-MONOMER	3-dehydroquinate synthase	ABAYE_RS02015	CCI-CYTOSOL-GN
ABAYE_RS18965-MONOMER	carboxylating nicotinate-nucleotide diphosphorylase	ABAYE_RS18965	CCI-CYTOSOL-GN
ABAYE_RS10810-MONOMER	hypothetical protein	ABAYE_RS10810	
ABAYE_RS15980-MONOMER	copper-translocating P-type ATPase	ABAYE_RS15980	CCI-PM-BAC-NEG-GN
ABAYE_RS10715-MONOMER	DUF2058 domain-containing protein	ABAYE_RS10715	CCI-CYTOSOL-GN
ABAYE_RS17885-MONOMER	transposase	ABAYE_RS17885	
ABAYE_RS06340-MONOMER	histidine/lysine/arginine/ornithine ABC transporter ATP-binding protein HisP	ABAYE_RS06340	CCI-PM-BAC-NEG-GN
ABAYE_RS02330-MONOMER	LysR family transcriptional regulator	ABAYE_RS02330	CCI-CYTOSOL-GN
ABAYE_RS18125-MONOMER	signal peptidase II	ABAYE_RS18125	CCI-PM-BAC-NEG-GN
ABAYE_RS00620-MONOMER	tyrosine--tRNA ligase	ABAYE_RS00620	CCI-CYTOSOL-GN
ABAYE_RS03640-MONOMER	peroxiredoxin	ABAYE_RS03640	CCI-CYTOSOL-GN
ABAYE_RS05855-MONOMER	pirin family protein	ABAYE_RS05855	CCI-CYTOSOL-GN
ABAYE_RS06965-MONOMER	AraC family transcriptional regulator	ABAYE_RS06965	CCI-CYTOSOL-GN
ABAYE_RS05050-MONOMER	Holliday junction branch migration DNA helicase RuvB	ABAYE_RS05050	CCI-CYTOSOL-GN
ABAYE_RS03325-MONOMER	phage tail assembly protein	ABAYE_RS03325	
ABAYE_RS07870-MONOMER	universal stress protein	ABAYE_RS07870	CCI-CYTOSOL-GN
ABAYE_RS06050-MONOMER	type 1 glutamine amidotransferase	ABAYE_RS06050	CCI-CYTOSOL-GN
ABAYE_RS04700-MONOMER	hypothetical protein	ABAYE_RS04700	
ABAYE_RS02835-MONOMER	PhoH family protein	ABAYE_RS02835	CCI-CYTOSOL-GN
ABAYE_RS03555-MONOMER	acyl-CoA desaturase	ABAYE_RS03555	CCI-PM-BAC-NEG-GN
ABAYE_RS11555-MONOMER	class I SAM-dependent methyltransferase	ABAYE_RS11555	CCI-CYTOSOL-GN
ABAYE_RS16305-MONOMER	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	ABAYE_RS16305	CCI-CYTOSOL-GN
ABAYE_RS00280-MONOMER	hypothetical protein	ABAYE_RS00280	CCI-CYTOSOL-GN
ABAYE_RS15900-MONOMER	hydroxypyruvate isomerase	ABAYE_RS15900	CCI-CYTOSOL-GN
ABAYE_RS04285-MONOMER	AdeB family multidrug efflux RND transporter permease subunit	ABAYE_RS04285	CCI-PM-BAC-NEG-GN
ABAYE_RS01200-MONOMER	OHCU decarboxylase	ABAYE_RS01200	CCI-PM-BAC-NEG-GN
ABAYE_RS10240-MONOMER	demethylmenaquinone methyltransferase	ABAYE_RS10240	CCI-CYTOSOL-GN
ABAYE_RS11570-MONOMER	isovaleryl-CoA dehydrogenase	ABAYE_RS11570	CCI-CYTOSOL-GN
ABAYE_RS08565-MONOMER	TrkA family potassium uptake protein	ABAYE_RS08565	CCI-CYTOSOL-GN
ABAYE_RS02925-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS02925	CCI-CYTOSOL-GN
ABAYE_RS18080-MONOMER	quaternary ammonium compound efflux SMR transporter QacE delta 1	ABAYE_RS18080	CCI-PM-BAC-NEG-GN
ABAYE_RS09525-MONOMER	hypothetical protein	ABAYE_RS09525	
ABAYE_RS19730-MONOMER	hypothetical protein	ABAYE_RS19730	
ABAYE_RS10255-MONOMER	siderophore achromobactin biosynthesis protein AcsC	ABAYE_RS10255	CCI-PM-BAC-NEG-GN
ABAYE_RS05390-MONOMER	deoxyribodipyrimidine photo-lyase	ABAYE_RS05390	CCI-CYTOSOL-GN
ABAYE_RS02475-MONOMER	NUDIX domain-containing protein	ABAYE_RS02475	
ABAYE_RS02110-MONOMER	prepilin-type N-terminal cleavage/methylation domain-containing protein	ABAYE_RS02110	CCO-MEMBRANE
ABAYE_RS07845-MONOMER	TonB-dependent siderophore receptor	ABAYE_RS07845	CCI-OUTER-MEM-GN
ABAYE_RS11005-MONOMER	LLM class flavin-dependent oxidoreductase	ABAYE_RS11005	CCI-CYTOSOL-GN
ABAYE_RS14920-MONOMER	[acyl-carrier-protein] S-malonyltransferase	ABAYE_RS14920	CCI-CYTOSOL-GN
ABAYE_RS13760-MONOMER	hypothetical protein	ABAYE_RS13760	
ABAYE_RS10095-MONOMER	energy transducer TonB	ABAYE_RS10095	
ABAYE_RS03890-MONOMER	methyl-accepting chemotaxis protein	ABAYE_RS03890	CCI-OUTER-MEM-GN
ABAYE_RS09150-MONOMER	MFS transporter	ABAYE_RS09150	CCI-PM-BAC-NEG-GN
ABAYE_RS08725-MONOMER	protocatechuate 3,4-dioxygenase subunit beta	ABAYE_RS08725	CCI-CYTOSOL-GN
ABAYE_RS02970-MONOMER	ClpXP protease specificity-enhancing factor	ABAYE_RS02970	
ABAYE_RS12090-MONOMER	LysR family transcriptional regulator	ABAYE_RS12090	CCI-CYTOSOL-GN
ABAYE_RS06480-MONOMER	aminoacyl-histidine dipeptidase	ABAYE_RS06480	CCI-CYTOSOL-GN
ABAYE_RS16715-MONOMER	HAD-IB family hydrolase	ABAYE_RS16715	CCI-CYTOSOL-GN
ABAYE_RS13250-MONOMER	ribonuclease T	ABAYE_RS13250	CCI-CYTOSOL-GN
ABAYE_RS14145-MONOMER	hypothetical protein	ABAYE_RS14145	CCI-CYTOSOL-GN
ABAYE_RS15005-MONOMER	DNA ligase (NAD(+)) LigA	ABAYE_RS15005	CCI-CYTOSOL-GN
ABAYE_RS12750-MONOMER	transposase	ABAYE_RS12750	
ABAYE_RS02215-MONOMER	hypothetical protein	ABAYE_RS02215	
ABAYE_RS14300-MONOMER	oxygen-dependent choline dehydrogenase	ABAYE_RS14300	CCI-PM-BAC-NEG-GN
ABAYE_RS00755-MONOMER	2,5-didehydrogluconate reductase DkgB	ABAYE_RS00755	CCI-CYTOSOL-GN
ABAYE_RS11435-MONOMER	amino acid ABC transporter permease	ABAYE_RS11435	CCI-PM-BAC-NEG-GN
ABAYE_RS05665-MONOMER	NUDIX hydrolase	ABAYE_RS05665	CCI-CYTOSOL-GN
ABAYE_RS05625-MONOMER	phosphate ABC transporter, permease protein PstA	ABAYE_RS05625	CCI-PM-BAC-NEG-GN
ABAYE_RS11325-MONOMER	malonate decarboxylase subunit alpha	ABAYE_RS11325	CCI-CYTOSOL-GN
ABAYE_RS07200-MONOMER	sorbosone dehydrogenase	ABAYE_RS07200	CCI-PM-BAC-NEG-GN
ABAYE_RS15030-MONOMER	biotin--[acetyl-CoA-carboxylase] ligase	ABAYE_RS15030	CCI-CYTOSOL-GN
ABAYE_RS00845-MONOMER	hypothetical protein	ABAYE_RS00845	
ABAYE_RS19045-MONOMER	sulfonate ABC transporter substrate-binding protein	ABAYE_RS19045	CCI-PM-BAC-NEG-GN
ABAYE_RS04220-MONOMER	PAP2 family protein	ABAYE_RS04220	CCI-PM-BAC-NEG-GN
ABAYE_RS12160-MONOMER	type VI secretion system baseplate subunit TssE	ABAYE_RS12160	CCI-CYTOSOL-GN
ABAYE_RS13635-MONOMER	hypothetical protein	ABAYE_RS13635	
ABAYE_RS01010-MONOMER	N utilization substance protein B	ABAYE_RS01010	CCI-CYTOSOL-GN
ABAYE_RS06445-MONOMER	glycosyl transferase family protein	ABAYE_RS06445	CCI-CYTOSOL-GN
ABAYE_RS19060-MONOMER	aliphatic sulfonate ABC transporter ATP-binding protein	ABAYE_RS19060	CCI-PM-BAC-NEG-GN
ABAYE_RS15115-MONOMER	hypothetical protein	ABAYE_RS15115	
ABAYE_RS06915-MONOMER	amino acid permease	ABAYE_RS06915	CCI-PM-BAC-NEG-GN
ABAYE_RS11235-MONOMER	hypothetical protein	ABAYE_RS11235	CCI-OUTER-MEM-GN
ABAYE_RS05010-MONOMER	hypothetical protein	ABAYE_RS05010	
ABAYE_RS07165-MONOMER	sensor histidine kinase	ABAYE_RS07165	CCI-PM-BAC-NEG-GN
ABAYE_RS16980-MONOMER	30S ribosomal protein S15	ABAYE_RS16980	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS08700-MONOMER	3-oxoadipyl-CoA thiolase	ABAYE_RS08700	CCI-CYTOSOL-GN
ABAYE_RS06725-MONOMER	hypothetical protein	ABAYE_RS06725	
ABAYE_RS00040-MONOMER	RepB family plasmid replication initiator protein	ABAYE_RS00040	CCI-CYTOSOL-GN
ABAYE_RS10855-MONOMER	hypothetical protein	ABAYE_RS10855	
ABAYE_RS05115-MONOMER	7-cyano-7-deazaguanine synthase QueC	ABAYE_RS05115	
ABAYE_RS13165-MONOMER	feruloyl-CoA synthase	ABAYE_RS13165	CCI-CYTOSOL-GN
ABAYE_RS07985-MONOMER	low molecular weight phosphotyrosine protein phosphatase	ABAYE_RS07985	CCI-CYTOSOL-GN
ABAYE_RS09605-MONOMER	catalase	ABAYE_RS09605	
ABAYE_RS08435-MONOMER	LysR family transcriptional regulator	ABAYE_RS08435	CCI-CYTOSOL-GN
ABAYE_RS08095-MONOMER	GTP 3',8-cyclase MoaA	ABAYE_RS08095	CCI-CYTOSOL-GN
ABAYE_RS09655-MONOMER	hypothetical protein	ABAYE_RS09655	
ABAYE_RS12580-MONOMER	fibronectin type III domain-containing protein	ABAYE_RS12580	CCI-OUTER-MEM-GN
ABAYE_RS10990-MONOMER	glutathione S-transferase	ABAYE_RS10990	CCI-CYTOSOL-GN
ABAYE_RS11015-MONOMER	methionine transporter	ABAYE_RS11015	CCI-PM-BAC-NEG-GN
ABAYE_RS18195-MONOMER	transposase	ABAYE_RS18195	CCI-CYTOSOL-GN
ABAYE_RS13160-MONOMER	DUF1487 domain-containing protein	ABAYE_RS13160	CCI-CYTOSOL-GN
ABAYE_RS10970-MONOMER	amino acid ABC transporter ATP-binding protein	ABAYE_RS10970	CCI-PM-BAC-NEG-GN
ABAYE_RS07670-MONOMER	ethanolamine ammonia-lyase subunit EutC	ABAYE_RS07670	CCI-CYTOSOL-GN
ABAYE_RS01710-MONOMER	LysE family translocator	ABAYE_RS01710	CCI-PM-BAC-NEG-GN
ABAYE_RS12155-MONOMER	type VI secretion system baseplate subunit TssF	ABAYE_RS12155	CCI-CYTOSOL-GN
ABAYE_RS15260-MONOMER	GGDEF domain-containing protein	ABAYE_RS15260	CCI-PM-BAC-NEG-GN
ABAYE_RS09425-MONOMER	FAD-binding oxidoreductase	ABAYE_RS09425	CCI-CYTOSOL-GN
ABAYE_RS15435-MONOMER	zinc-binding dehydrogenase	ABAYE_RS15435	CCI-CYTOSOL-GN
ABAYE_RS08600-MONOMER	ATP-dependent Clp protease adapter ClpS	ABAYE_RS08600	CCI-CYTOSOL-GN
ABAYE_RS16875-MONOMER	ferrochelatase	ABAYE_RS16875	CCI-CYTOSOL-GN
ABAYE_RS12340-MONOMER	hypothetical protein	ABAYE_RS12340	CCI-CYTOSOL-GN
ABAYE_RS16700-MONOMER	3-isopropylmalate dehydratase large subunit	ABAYE_RS16700	CCI-CYTOSOL-GN
ABAYE_RS00565-MONOMER	DNA replication and repair protein RecF	ABAYE_RS00565	CCI-CYTOSOL-GN
ABAYE_RS09405-MONOMER	multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	ABAYE_RS09405	CCI-OUTER-MEM-GN
ABAYE_RS07110-MONOMER	hydroxyisourate hydrolase	ABAYE_RS07110	
ABAYE_RS01725-MONOMER	AraC family transcriptional regulator	ABAYE_RS01725	CCI-CYTOSOL-GN
ABAYE_RS13425-MONOMER	cell division protein ZapA	ABAYE_RS13425	
ABAYE_RS13545-MONOMER	hypothetical protein	ABAYE_RS13545	
ABAYE_RS12780-MONOMER	hypothetical protein	ABAYE_RS12780	
ABAYE_RS01445-MONOMER	hypothetical protein	ABAYE_RS01445	
ABAYE_RS17575-MONOMER	D-alanyl-D-alanine endopeptidase	ABAYE_RS17575	CCI-PERI-BAC-GN
ABAYE_RS05745-MONOMER	elongation factor P	ABAYE_RS05745	CCI-CYTOSOL-GN
ABAYE_RS09485-MONOMER	hypothetical protein	ABAYE_RS09485	
ABAYE_RS02400-MONOMER	hypothetical protein	ABAYE_RS02400	CCI-CYTOSOL-GN
ABAYE_RS04520-MONOMER	chloramphenicol acetyltransferase CAT	ABAYE_RS04520	CCI-CYTOSOL-GN
ABAYE_RS08285-MONOMER	regulatory protein RecX	ABAYE_RS08285	CCI-CYTOSOL-GN
ABAYE_RS09250-MONOMER	nicotinate phosphoribosyltransferase	ABAYE_RS09250	CCI-CYTOSOL-GN
ABAYE_RS09210-MONOMER	aldehyde dehydrogenase (NADP(+))	ABAYE_RS09210	CCI-CYTOSOL-GN
ABAYE_RS14605-MONOMER	septum site-determining protein MinC	ABAYE_RS14605	CCI-CYTOSOL-GN
ABAYE_RS00555-MONOMER	chromosomal replication initiator protein DnaA	ABAYE_RS00555	CCI-CYTOSOL-GN
ABAYE_RS00360-MONOMER	BREX system Lon protease-like protein BrxL	ABAYE_RS00360	
ABAYE_RS02505-MONOMER	acyl-CoA thioesterase II	ABAYE_RS02505	CCI-CYTOSOL-GN
ABAYE_RS14690-MONOMER	beta-ketoacyl-[acyl-carrier-protein] synthase II	ABAYE_RS14690	CCI-CYTOSOL-GN
ABAYE_RS09985-MONOMER	thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha	ABAYE_RS09985	CCI-CYTOSOL-GN
ABAYE_RS11130-MONOMER	serine O-acetyltransferase	ABAYE_RS11130	CCI-CYTOSOL-GN
ABAYE_RS16920-MONOMER	tRNA-binding protein	ABAYE_RS16920	CCI-CYTOSOL-GN
ABAYE_RS14730-MONOMER	NAD-dependent succinate-semialdehyde dehydrogenase	ABAYE_RS14730	CCI-CYTOSOL-GN
ABAYE_RS19695-MONOMER	hypothetical protein	ABAYE_RS19695	
