Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS03540-MONOMER	sensor histidine kinase efflux regulator BaeS	ABAYE_RS03540	CCO-MEMBRANE
CPLX1SOZ-5	NAD(P) transhydrogenase	ABAYE_RS15915 // ABAYE_RS15920	
ABAYE_RS06625-MONOMER	ribbon-helix-helix protein, CopG family	ABAYE_RS06625	
ABAYE_RS00475-MONOMER	hypothetical protein	ABAYE_RS00475	
ABAYE_RS12005-MONOMER	AraC family transcriptional regulator	ABAYE_RS12005	CCI-CYTOSOL-GN
ABAYE_RS03935-MONOMER	L,D-transpeptidase	ABAYE_RS03935	CCI-CYTOSOL-GN
ABAYE_RS00435-MONOMER	transcriptional regulator	ABAYE_RS00435	
ABAYE_RS07180-MONOMER	nuclear transport factor 2 family protein	ABAYE_RS07180	
ABAYE_RS00980-MONOMER	ATP-binding protein	ABAYE_RS00980	CCI-CYTOSOL-GN
ABAYE_RS06195-MONOMER	MFS transporter	ABAYE_RS06195	CCO-MEMBRANE
ABAYE_RS05660-MONOMER	tRNA 2-thiouridine(34) synthase MnmA	ABAYE_RS05660	CCI-CYTOSOL-GN
