,value
S1469,MONOMER
S1471,MONOMER
S1472,MONOMER
S1473,MONOMER
S1475,MONOMER
S1478,MONOMER
S1479,MONOMER
S1481,misc
S1482,MONOMER
S1483,MONOMER
S1485,MONOMER
S1486,MONOMER
S1487,MONOMER
S1488,MONOMER
S1489,MONOMER
S1490,MONOMER
S1491,MONOMER
S1492,MONOMER
S1493,MONOMER
S1494,MONOMER
S1495,MONOMER
S1497,MONOMER
S1498,MONOMER
S1499,MONOMER
S1500,MONOMER
S1502,MONOMER
S1503,MONOMER
S1504,MONOMER
S1505,MONOMER
S1508,MONOMER
S1509,MONOMER
S1510,MONOMER
S1511,MONOMER
S1512,MONOMER
S1513,MONOMER
S1514,MONOMER
S1515,MONOMER
S1516,MONOMER
S1517,MONOMER
S1518,MONOMER
S1519,MONOMER
S1520,MONOMER
S1521,MONOMER
S1522,MONOMER
S1523,MONOMER
S1524,MONOMER
S1525,MONOMER
S1526,MONOMER
S1527,MONOMER
S1528,MONOMER
S1529,MONOMER
S1530,MONOMER
S1531,MONOMER
S1532,MONOMER
S1533,MONOMER
S1534,MONOMER
S1535,MONOMER
S1536,MONOMER
S1537,MONOMER
S1538,MONOMER
S1539,MONOMER
S1540,MONOMER
S1542,MONOMER
S1543,MONOMER
S1544,MONOMER
S1545,MONOMER
S1546,MONOMER
S1547,MONOMER
S1548,MONOMER
S1550,MONOMER
