Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
S3594-MONOMER,Plasma_Membrane,S3594(),Plasma_Membrane,s
S1091-MONOMER,Extracellular_Space,S1091(),Extracellular_Space,s
S1090-MONOMER,Plasma_Membrane,S1090(),Plasma_Membrane,s
S2355-MONOMER,Plasma_Membrane,S2355(),Plasma_Membrane,s
S3739-MONOMER,Plasma_Membrane,S3739(),Plasma_Membrane,s
S0886-MONOMER,Plasma_Membrane,S0886(),Plasma_Membrane,s
CPLX_CYSabc2pp-0,Plasma_Membrane,S0886(),Plasma_Membrane,s
S0887-MONOMER,Plasma_Membrane,S0887(),Plasma_Membrane,s
CPLX_CYSabc2pp-0,Plasma_Membrane,S0887(),Plasma_Membrane,s
S0576-MONOMER,Plasma_Membrane,S0576(),Plasma_Membrane,s
CPLX_CYTBDpp-0,Plasma_Membrane,S0576(),Plasma_Membrane,s
S0577-MONOMER,Plasma_Membrane,S0577(),Plasma_Membrane,s
CPLX_CYTBDpp-0,Plasma_Membrane,S0577(),Plasma_Membrane,s
S0129-MONOMER,Plasma_Membrane,S0129(),Plasma_Membrane,s
S1407-MONOMER,Plasma_Membrane,S1407(),Plasma_Membrane,s
S0605-MONOMER,Cell_Wall,S0605(),Cell_Wall,s
S4039-MONOMER,Plasma_Membrane,S4039(),Plasma_Membrane,s
CPLX_ARBTptspp-0,Plasma_Membrane,S4039(),Plasma_Membrane,s
S2598-MONOMER,Plasma_Membrane,S2598(),Plasma_Membrane,s
S2366-MONOMER,Plasma_Membrane,S2366(),Plasma_Membrane,s
S2356-MONOMER,Plasma_Membrane,S2356(),Plasma_Membrane,s
S4327-MONOMER,Plasma_Membrane,S4327(),Plasma_Membrane,s
S0530-MONOMER,Plasma_Membrane,S0530(),Plasma_Membrane,s
S1548-MONOMER,Plasma_Membrane,S1548(),Plasma_Membrane,s
