TU_start	TU_end	Genes	Strand	Rho_independent	Stable_RNA
1733498	1734278	CLJU_c15930	1	f	f
1734445	1735060	CLJU_c15940	1	t	f
1735316	1736640	CLJU_c15950 CLJU_c15960	1	t	f
1736016	1736960	CLJU_c15970	-1	f	f
1736699	1737822	CLJU_c15980	1	f	f
1738336	1741143	CLJU_c15990 CLJU_c16000 CLJU_c16010	1	f	f
1741467	1742841	CLJU_c16020	1	f	f
1743013	1744006	CLJU_c16030	1	t	f
174312	175711	CLJU_c01760 CLJU_c01770	1	f	f
1744356	1746296	CLJU_c16040 CLJU_c16050 CLJU_c16060	1	t	f
1746633	1753124	CLJU_c16070 CLJU_c16080 CLJU_c16090 CLJU_c16100 CLJU_c16110 CLJU_c16120 CLJU_c16130	1	f	f
1753241	1755332	CLJU_c16140	1	t	f
1753241	1758533	CLJU_c16150 CLJU_c16160	-1	f	f
1756589	1759701	CLJU_c16170	1	f	f
