,name,genes,source
CPLX_CELLBabc-1,Cellobiose transport via ATP transporter,TM1223() AND TM1222() AND TM1221() AND TM1220() AND TM1219(),Manual
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,TM0446() AND TM0447(),Manual
CPLX_ALAabc-0,L-alanine transport via ABC system,TM1135(1) AND TM1137(1) AND TM1136(1) AND TM1139(1) AND TM1138(1),Manual
CPLX_DDPGA-0,2-dehydro-3-deoxy-phosphogluconate aldolase,TM0128() AND TM0880(),Manual
CPLX_DHORD_NAD-0,Dihydoorotic acid dehydrogenase,TM0333() AND TM0334(),Manual
CPLX_AMYe-0,"Starch hydrolysis by alpha-1,4-amylase and alpha-1,6 pullulanase",TM1840() AND TM1845(),Manual
CPLX_FE3abc-0,Iron (III) transport via ABC system,TM0191() AND TM0189() AND TM0190(),Manual
CPLX_FE3abc-1,Iron (III) transport via ABC system,TM0078() AND TM0080() AND TM0079(),Manual
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,TM1042() AND TM1043(),Manual
CPLX_FUM-0,Fumarase,TM0540() AND TM0541(),Manual
CPLX_GLCMAN4-0,Hydrolysis of glucomannan,TM1751() AND TM1752() AND TM1624(),Manual
CPLX_GLCMAN6abc-0,Glucomannan transport via ABC system,TM1746() AND TM1747() AND TM1748() AND TM1749() AND TM1750(),Manual
CPLX_GALMAN4-0,Hydrolysis of galactomannan,TM1751() AND TM1752() AND TM1192() AND TM1624(),Manual
CPLX_GALabc-0,D-galactose transport via ABC system,TM1204() AND TM1203() AND TM1202(),Manual
CPLX_GLUCAN2abc-0,Glucan transport via ATP transporter,TM0300() AND TM0301() AND TM0302() AND TM0303() AND TM0304(),Manual
CPLX_GLUSy-0,Glutamate synthase (NADPH),TM0397() AND TM1217(),Manual
CPLX_GLUSy-1,Glutamate synthase (NADPH),TM0397() AND TM1640(),Manual
CPLX_GLYC3Pabc-0,Sn-Glycerol 3-phosphate transport via ABC system,TM1121() AND TM1120() AND TM1122(),Manual
CPLX_MALTTRabc-0,Maltotriose transport via ABC system,TM1839() AND TM1837() AND TM1836(),Manual
CPLX_HCO3abc-0,Bicarbonate transport via ABC,TM0202() AND TM0204() AND TM0203(),Manual
CPLX_HYDFDN-0,,TM1426() AND TM1425() AND TM1424(),Manual
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,TM1036(1) AND TM1038(1),Manual
CPLX_INSTabc-0,Inositol transport in via ABC transport,TM0418() AND TM0419() AND TM0420() AND TM0421(),Manual
CPLX_OOR2r-0,2-ketoglutarate ferredoxin oxidoreductase,TM1164() AND TM1165(),Manual
CPLX_OOR2r-1,2-ketoglutarate ferredoxin oxidoreductase,TM0405() AND TM0406(),Manual
CPLX_NOX-0,NADH oxidase,TM1432() AND TM1433(),Manual
CPLX_LCTSabc-0,Lactose transport via ABC system (import),TM1194() AND TM1196() AND TM1197() AND TM1198() AND TM1199(),Manual
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,TM0555(1) AND TM0554(1),Manual
CPLX_Kt1-0,,TM1088() AND TM1089(),Manual
CPLX_SPMDabc-0,Spermidine transport via ABC system,TM1376() AND TM1377() AND TM1378() AND TM1375(),Manual
CPLX_RBFSb-0,Riboflavin synthase,TM1827() AND TM1825(),Manual
CPLX_PIabc-0,Phosphate transport via ABC system,TM1262() AND TM1261() AND TM1263() AND TM1264(),Manual
CPLX_PLPS-0,Pyridoxal-5-phosphate synthase,TM0472() AND TM0473(),Manual
CPLX_RIBabc-0,D-ribose transport via ABC system,TM0958() AND TM0955() AND TM0959() AND TM0956(),Manual
CPLX_POR-0,Pyruvate synthase,TM0015() AND TM0016() AND TM0017() AND TM0018(),Manual
CPLX_RMNabc-0,L-rhamnose transport (ATP-dependent),TM1067() AND TM1066() AND TM1065() AND TM1064() AND TM1063(),Manual
CPLX_FASC201ACP-0,Fatty acid biosynthesis (n-C20:1),TM0798() AND TM0802() AND TM1724() AND TM0800() AND TM0801(),Manual
CPLX_FASC201ACP-1,Fatty acid biosynthesis (n-C20:1),TM0798() AND TM0802() AND TM1169() AND TM0800() AND TM0801(),Manual
CPLX_PRFGS-0,Phosphoribosylformylglycinamidine synthase,TM1246() AND TM1245() AND TM1244(),Manual
CPLX_TKT2-0,Transketolase,TM0953() AND TM0954(),Manual
CPLX_ACONT-0,Aconitate hydratase,TM0291() AND TM0292(),Manual
CPLX_GLCMAN600a_e-0,Hydrolysis of glucomannan (extracellular),TM0305() AND TM1227(),Manual
CPLX_TRPS1-0,Tryptophan synthase (indoleglycerol phosphate),TM0137() AND TM0138() AND TM0539(),Manual
CPLX_XYL3abc-0,Xylotriose ABC transport,TM0071() AND TM0072() AND TM0073() AND TM0074() AND TM0075(),Manual
CPLX_XYLANabc-0,Oligo-xylan ABC transport,TM0060() AND TM0056() AND TM0057() AND TM0058() AND TM0059(),Manual
CPLX_XYLabc-0,D-xylose transport via ABC system,TM0112() AND TM0114() AND TM0115(),Manual
CPLX_ZNabc-0,Zinc transport via ABC system,TM0125(2) AND TM0124(2) AND TM0123(1),Manual
RNAP-CPLX,DNA-directed RNA polymerase,TM0458() AND TM0459() AND TM1472() AND TM1688(),GenBank
